nohup: 忽略输入
<class 'float'>
loss_gen_adv 252.77818
loss_gen_sty 17.60788
loss_gen_rec 38.007584
loss_dis_adv 46.19085
[#000010|200000] 16.07s
loss_gen_adv 1880.6345
loss_gen_sty 25.189802
loss_gen_rec 76.49289
loss_dis_adv 10.333647
[#000020|200000]  4.31s
loss_gen_adv 339.91324
loss_gen_sty 19.700275
loss_gen_rec 27.597382
loss_dis_adv 30.630543
[#000030|200000]  4.29s
loss_gen_adv 443.41904
loss_gen_sty 16.310114
loss_gen_rec 35.877823
loss_dis_adv 9.83458
[#000040|200000]  4.34s
loss_gen_adv 795.5946
loss_gen_sty 19.645256
loss_gen_rec 21.02552
loss_dis_adv 2.0980117
[#000050|200000]  4.26s
loss_gen_adv 149.08563
loss_gen_sty 23.488218
loss_gen_rec 46.96997
loss_dis_adv 8.6531725
[#000060|200000]  4.35s
loss_gen_adv 177.17184
loss_gen_sty 10.018688
loss_gen_rec 21.001644
loss_dis_adv 20.966776
[#000070|200000]  4.37s
loss_gen_adv 676.34595
loss_gen_sty 11.881519
loss_gen_rec 17.728241
loss_dis_adv 8.650183
[#000080|200000]  4.20s
loss_gen_adv 189.59738
loss_gen_sty 10.062176
loss_gen_rec 16.74338
loss_dis_adv 13.167987
[#000090|200000]  4.04s
loss_gen_adv 127.99284
loss_gen_sty 6.887746
loss_gen_rec 25.200146
loss_dis_adv 3.4659808
[#000100|200000]  4.04s
loss_gen_adv 209.76912
loss_gen_sty 7.458505
loss_gen_rec 12.718519
loss_dis_adv 7.4423947
[#000110|200000]  4.05s
loss_gen_adv 682.5514
loss_gen_sty 10.490713
loss_gen_rec 11.9798355
loss_dis_adv 7.137536
[#000120|200000]  4.03s
loss_gen_adv 216.88187
loss_gen_sty 5.0447135
loss_gen_rec 9.797955
loss_dis_adv 1.5172052
[#000130|200000]  4.03s
loss_gen_adv 12.789347
loss_gen_sty 3.7826686
loss_gen_rec 14.809267
loss_dis_adv 15.745642
[#000140|200000]  4.04s
loss_gen_adv 191.05411
loss_gen_sty 4.953723
loss_gen_rec 14.687502
loss_dis_adv 2.6786392
[#000150|200000]  4.06s
loss_gen_adv 94.87099
loss_gen_sty 4.016938
loss_gen_rec 10.928116
loss_dis_adv 2.791239
[#000160|200000]  4.11s
loss_gen_adv 197.24146
loss_gen_sty 3.8199406
loss_gen_rec 14.419867
loss_dis_adv 6.3068676
[#000170|200000]  4.28s
loss_gen_adv 80.70845
loss_gen_sty 4.4681473
loss_gen_rec 8.004511
loss_dis_adv 3.1275787
[#000180|200000]  4.38s
loss_gen_adv 57.95695
loss_gen_sty 3.72218
loss_gen_rec 13.5269165
loss_dis_adv 2.3034937
[#000190|200000]  4.28s
loss_gen_adv 105.32562
loss_gen_sty 7.7118297
loss_gen_rec 21.55396
loss_dis_adv 2.1563141
[#000200|200000]  4.40s
loss_gen_adv 54.326103
loss_gen_sty 3.1717772
loss_gen_rec 13.977267
loss_dis_adv 0.09366631
[#000210|200000]  4.28s
loss_gen_adv 86.746216
loss_gen_sty 4.504798
loss_gen_rec 11.135071
loss_dis_adv 6.9743648
[#000220|200000]  4.40s
loss_gen_adv 462.5312
loss_gen_sty 2.958968
loss_gen_rec 8.317795
loss_dis_adv 3.9573114
[#000230|200000]  4.28s
loss_gen_adv 71.97716
loss_gen_sty 4.9123383
loss_gen_rec 14.454423
loss_dis_adv 0.56876916
[#000240|200000]  4.38s
loss_gen_adv 1.7099524
loss_gen_sty 8.33585
loss_gen_rec 12.586208
loss_dis_adv 16.81591
[#000250|200000]  4.30s
loss_gen_adv -34.363014
loss_gen_sty 6.2439814
loss_gen_rec 10.418167
loss_dis_adv 56.46371
[#000260|200000]  4.30s
loss_gen_adv 49.946373
loss_gen_sty 2.926406
loss_gen_rec 13.120161
loss_dis_adv 3.0711894
[#000270|200000]  4.06s
loss_gen_adv 114.59763
loss_gen_sty 3.5140707
loss_gen_rec 9.916874
loss_dis_adv 2.4612281
[#000280|200000]  4.07s
loss_gen_adv 97.22089
loss_gen_sty 4.5510716
loss_gen_rec 11.125814
loss_dis_adv 0.48631713
[#000290|200000]  4.06s
loss_gen_adv 64.6784
loss_gen_sty 2.5521326
loss_gen_rec 7.577532
loss_dis_adv 0.18228394
[#000300|200000]  4.07s
loss_gen_adv 115.29939
loss_gen_sty 3.8060145
loss_gen_rec 10.755246
loss_dis_adv 0.5473376
[#000310|200000]  4.07s
loss_gen_adv 135.57027
loss_gen_sty 3.9065976
loss_gen_rec 10.119859
loss_dis_adv 0.6061114
[#000320|200000]  4.06s
loss_gen_adv 80.669266
loss_gen_sty 3.4883037
loss_gen_rec 7.2771235
loss_dis_adv 1.1258522
[#000330|200000]  4.19s
loss_gen_adv 84.414604
loss_gen_sty 2.0042493
loss_gen_rec 5.8613467
loss_dis_adv 0.05288795
[#000340|200000]  4.05s
loss_gen_adv 150.87253
loss_gen_sty 1.7984998
loss_gen_rec 5.4594235
loss_dis_adv 0.20788358
[#000350|200000]  4.24s
loss_gen_adv 103.04294
loss_gen_sty 2.5617352
loss_gen_rec 4.801917
loss_dis_adv 0.14599352
[#000360|200000]  4.31s
loss_gen_adv 77.352325
loss_gen_sty 2.4278934
loss_gen_rec 4.0463915
loss_dis_adv 0.043476235
[#000370|200000]  4.36s
loss_gen_adv 50.60352
loss_gen_sty 2.0564728
loss_gen_rec 6.1145053
loss_dis_adv 0.04212001
[#000380|200000]  4.33s
loss_gen_adv 54.781136
loss_gen_sty 1.8202169
loss_gen_rec 6.547596
loss_dis_adv 0.0371075
[#000390|200000]  4.30s
loss_gen_adv 34.067898
loss_gen_sty 1.9796292
loss_gen_rec 4.570505
loss_dis_adv 0.032714076
[#000400|200000]  4.38s
loss_gen_adv 42.52019
loss_gen_sty 1.6336763
loss_gen_rec 4.8213964
loss_dis_adv 1.9014919
[#000410|200000]  4.41s
loss_gen_adv 131.20938
loss_gen_sty 2.628979
loss_gen_rec 3.4897432
loss_dis_adv 0.14392936
[#000420|200000]  4.31s
loss_gen_adv 62.433117
loss_gen_sty 2.1872287
loss_gen_rec 4.4600077
loss_dis_adv 0.049843326
[#000430|200000]  4.39s
loss_gen_adv 61.010384
loss_gen_sty 1.9132545
loss_gen_rec 3.1606557
loss_dis_adv 0.9231627
[#000440|200000]  4.41s
loss_gen_adv 64.61476
loss_gen_sty 2.1403513
loss_gen_rec 4.9187527
loss_dis_adv 2.3710403
[#000450|200000]  4.14s
loss_gen_adv 43.25891
loss_gen_sty 2.4642227
loss_gen_rec 3.0904307
loss_dis_adv 0.040210456
[#000460|200000]  4.06s
loss_gen_adv 44.02662
loss_gen_sty 1.8448298
loss_gen_rec 4.354338
loss_dis_adv 0.051576894
[#000470|200000]  4.06s
loss_gen_adv 84.31099
loss_gen_sty 1.7831693
loss_gen_rec 2.8706603
loss_dis_adv 0.1302744
[#000480|200000]  4.09s
loss_gen_adv 58.144985
loss_gen_sty 1.90682
loss_gen_rec 3.2269015
loss_dis_adv 0.04011713
[#000490|200000]  4.06s
loss_gen_adv 33.588814
loss_gen_sty 1.5277612
loss_gen_rec 2.4626575
loss_dis_adv 0.028743356
[#000500|200000]  4.07s
loss_gen_adv 30.434177
loss_gen_sty 1.7595217
loss_gen_rec 2.5540416
loss_dis_adv 0.05291429
[#000510|200000]  4.08s
loss_gen_adv 28.504986
loss_gen_sty 1.8521634
loss_gen_rec 3.4092474
loss_dis_adv 0.033636518
[#000520|200000]  4.07s
loss_gen_adv 24.009047
loss_gen_sty 1.8668975
loss_gen_rec 2.4230862
loss_dis_adv 0.029119246
[#000530|200000]  4.12s
loss_gen_adv 31.062906
loss_gen_sty 1.5001179
loss_gen_rec 4.230159
loss_dis_adv 0.17979228
[#000540|200000]  4.06s
loss_gen_adv 36.250473
loss_gen_sty 1.681123
loss_gen_rec 2.7116408
loss_dis_adv 0.017642675
[#000550|200000]  4.07s
loss_gen_adv 19.909233
loss_gen_sty 1.8319542
loss_gen_rec 2.3125958
loss_dis_adv 1.8290697
[#000560|200000]  4.05s
loss_gen_adv 26.48095
loss_gen_sty 1.6173792
loss_gen_rec 2.3632967
loss_dis_adv 0.041136365
[#000570|200000]  4.01s
loss_gen_adv 33.046356
loss_gen_sty 1.7202752
loss_gen_rec 2.0536067
loss_dis_adv 0.046137873
[#000580|200000]  4.02s
loss_gen_adv 30.96172
loss_gen_sty 2.7151227
loss_gen_rec 2.8060567
loss_dis_adv 5.0967975
[#000590|200000]  4.01s
loss_gen_adv 12.926973
loss_gen_sty 1.8091764
loss_gen_rec 2.016233
loss_dis_adv 6.606619
[#000600|200000]  4.00s
loss_gen_adv 75.19693
loss_gen_sty 1.5452394
loss_gen_rec 2.7766442
loss_dis_adv 0.71419156
[#000610|200000]  4.01s
loss_gen_adv 44.829792
loss_gen_sty 1.7939653
loss_gen_rec 2.0610173
loss_dis_adv 0.84964174
[#000620|200000]  4.00s
loss_gen_adv 36.136585
loss_gen_sty 1.6144121
loss_gen_rec 2.3540096
loss_dis_adv 0.29615885
[#000630|200000]  4.01s
loss_gen_adv 26.05125
loss_gen_sty 1.7317342
loss_gen_rec 2.1797209
loss_dis_adv 0.24377503
[#000640|200000]  4.01s
loss_gen_adv 28.841948
loss_gen_sty 1.4352505
loss_gen_rec 1.7626288
loss_dis_adv 0.7938876
[#000650|200000]  4.00s
loss_gen_adv 33.404694
loss_gen_sty 1.5003424
loss_gen_rec 3.3408973
loss_dis_adv 0.13475028
[#000660|200000]  4.01s
loss_gen_adv 33.43177
loss_gen_sty 1.4853328
loss_gen_rec 2.0345895
loss_dis_adv 0.45574546
[#000670|200000]  4.01s
loss_gen_adv 23.101154
loss_gen_sty 1.5365968
loss_gen_rec 1.8545172
loss_dis_adv 0.23188674
[#000680|200000]  4.01s
loss_gen_adv 51.53127
loss_gen_sty 1.7587372
loss_gen_rec 1.9049276
loss_dis_adv 2.2456753
[#000690|200000]  4.01s
loss_gen_adv 28.536676
loss_gen_sty 1.4969419
loss_gen_rec 1.9146862
loss_dis_adv 0.62392807
[#000700|200000]  4.00s
loss_gen_adv 31.688105
loss_gen_sty 1.6860857
loss_gen_rec 2.3457332
loss_dis_adv 0.35670665
[#000710|200000]  4.01s
loss_gen_adv 26.01735
loss_gen_sty 1.3801409
loss_gen_rec 2.4942539
loss_dis_adv 0.5633197
[#000720|200000]  4.00s
loss_gen_adv 26.088821
loss_gen_sty 1.9363862
loss_gen_rec 1.6127522
loss_dis_adv 0.07717044
[#000730|200000]  4.01s
loss_gen_adv 12.535025
loss_gen_sty 1.3745533
loss_gen_rec 1.5592175
loss_dis_adv 0.77409065
[#000740|200000]  4.01s
loss_gen_adv 16.71416
loss_gen_sty 1.32005
loss_gen_rec 1.6262033
loss_dis_adv 0.3722536
[#000750|200000]  4.00s
loss_gen_adv 33.390106
loss_gen_sty 1.740488
loss_gen_rec 1.7448639
loss_dis_adv 0.051789436
[#000760|200000]  4.01s
loss_gen_adv 16.019207
loss_gen_sty 1.4114391
loss_gen_rec 1.7164443
loss_dis_adv 1.9113837
[#000770|200000]  4.01s
loss_gen_adv 37.76647
loss_gen_sty 1.5657818
loss_gen_rec 1.6377985
loss_dis_adv 0.5044247
[#000780|200000]  4.00s
loss_gen_adv 26.48182
loss_gen_sty 1.6904888
loss_gen_rec 2.3804488
loss_dis_adv 0.24895886
[#000790|200000]  4.01s
loss_gen_adv 26.933086
loss_gen_sty 1.4752041
loss_gen_rec 1.7184587
loss_dis_adv 0.04838265
[#000800|200000]  4.01s
loss_gen_adv 36.385662
loss_gen_sty 1.5562177
loss_gen_rec 1.5232744
loss_dis_adv 5.638189
[#000810|200000]  4.00s
loss_gen_adv 21.178665
loss_gen_sty 1.4770913
loss_gen_rec 1.3926742
loss_dis_adv 0.025614861
[#000820|200000]  4.00s
loss_gen_adv 18.890179
loss_gen_sty 1.5438154
loss_gen_rec 1.7767565
loss_dis_adv 0.21188089
[#000830|200000]  4.01s
loss_gen_adv 35.183037
loss_gen_sty 1.8148263
loss_gen_rec 1.4267759
loss_dis_adv 2.62221
[#000840|200000]  4.01s
loss_gen_adv 17.744307
loss_gen_sty 1.5362568
loss_gen_rec 1.4546145
loss_dis_adv 0.9921251
[#000850|200000]  4.01s
loss_gen_adv 30.077463
loss_gen_sty 1.628257
loss_gen_rec 1.5430162
loss_dis_adv 1.5014398
[#000860|200000]  4.01s
loss_gen_adv 22.200474
loss_gen_sty 1.6916851
loss_gen_rec 1.5215207
loss_dis_adv 0.30464074
[#000870|200000]  4.02s
loss_gen_adv 18.364424
loss_gen_sty 1.5836915
loss_gen_rec 1.4153372
loss_dis_adv 0.1519492
[#000880|200000]  4.00s
loss_gen_adv 25.851456
loss_gen_sty 1.6014683
loss_gen_rec 1.5365223
loss_dis_adv 0.053225257
[#000890|200000]  4.00s
loss_gen_adv 32.932213
loss_gen_sty 1.634791
loss_gen_rec 1.332901
loss_dis_adv 2.291664
[#000900|200000]  4.01s
loss_gen_adv 36.59912
loss_gen_sty 1.7254717
loss_gen_rec 2.2037277
loss_dis_adv 0.024871578
[#000910|200000]  4.01s
loss_gen_adv 37.764233
loss_gen_sty 1.8007221
loss_gen_rec 2.08743
loss_dis_adv 0.6182528
[#000920|200000]  4.02s
loss_gen_adv 21.19245
loss_gen_sty 1.8742857
loss_gen_rec 1.5208213
loss_dis_adv 0.056523256
[#000930|200000]  4.01s
loss_gen_adv 18.799124
loss_gen_sty 1.6241785
loss_gen_rec 2.2512436
loss_dis_adv 0.30037093
[#000940|200000]  4.01s
loss_gen_adv 26.631203
loss_gen_sty 1.7446184
loss_gen_rec 1.643124
loss_dis_adv 0.13137946
[#000950|200000]  4.01s
loss_gen_adv 5.3748283
loss_gen_sty 1.5756547
loss_gen_rec 1.2611641
loss_dis_adv 5.0074725
[#000960|200000]  4.01s
loss_gen_adv 16.537918
loss_gen_sty 1.6332781
loss_gen_rec 1.9124287
loss_dis_adv 0.46008682
[#000970|200000]  4.01s
loss_gen_adv 19.392118
loss_gen_sty 1.7344673
loss_gen_rec 1.5177863
loss_dis_adv 2.0514305
[#000980|200000]  4.00s
loss_gen_adv 23.98487
loss_gen_sty 1.479605
loss_gen_rec 1.3579361
loss_dis_adv 0.10917202
[#000990|200000]  4.01s
loss_gen_adv 26.394598
loss_gen_sty 1.9617124
loss_gen_rec 1.3945992
loss_dis_adv 1.9897153
[#001000|200000]  4.54s
loss_gen_adv 12.925395
loss_gen_sty 1.9002521
loss_gen_rec 2.148971
loss_dis_adv 1.1384928
[#001010|200000]  4.01s
loss_gen_adv 22.502647
loss_gen_sty 1.9672774
loss_gen_rec 1.409031
loss_dis_adv 1.9115666
[#001020|200000]  4.00s
loss_gen_adv 22.440609
loss_gen_sty 1.5622435
loss_gen_rec 1.5465242
loss_dis_adv 0.025208043
[#001030|200000]  4.00s
loss_gen_adv 63.371674
loss_gen_sty 1.8595796
loss_gen_rec 1.4114316
loss_dis_adv 5.8433003
[#001040|200000]  4.00s
loss_gen_adv 24.856125
loss_gen_sty 1.4058033
loss_gen_rec 1.172147
loss_dis_adv 0.0705035
[#001050|200000]  4.00s
loss_gen_adv 23.950836
loss_gen_sty 1.5908194
loss_gen_rec 1.6096536
loss_dis_adv 0.040813293
[#001060|200000]  4.00s
loss_gen_adv 37.26864
loss_gen_sty 1.4589605
loss_gen_rec 1.9849167
loss_dis_adv 5.025474
[#001070|200000]  4.01s
loss_gen_adv 11.693905
loss_gen_sty 1.7416259
loss_gen_rec 1.222461
loss_dis_adv 1.0319724
[#001080|200000]  4.01s
loss_gen_adv 12.371847
loss_gen_sty 1.4921011
loss_gen_rec 1.34897
loss_dis_adv 1.1968763
[#001090|200000]  4.00s
loss_gen_adv 26.995403
loss_gen_sty 1.6025696
loss_gen_rec 1.3477759
loss_dis_adv 0.04542169
[#001100|200000]  4.01s
loss_gen_adv 39.50103
loss_gen_sty 1.4931635
loss_gen_rec 1.5348212
loss_dis_adv 0.09737424
[#001110|200000]  4.00s
loss_gen_adv 24.374699
loss_gen_sty 1.8029678
loss_gen_rec 1.2386984
loss_dis_adv 0.02834209
[#001120|200000]  4.00s
loss_gen_adv 44.683178
loss_gen_sty 1.8875325
loss_gen_rec 1.5583954
loss_dis_adv 0.8035048
[#001130|200000]  4.00s
loss_gen_adv 29.925303
loss_gen_sty 1.9293258
loss_gen_rec 1.0970137
loss_dis_adv 2.075921
[#001140|200000]  4.01s
loss_gen_adv 9.458818
loss_gen_sty 2.0367436
loss_gen_rec 1.5660285
loss_dis_adv 1.9656006
[#001150|200000]  4.01s
loss_gen_adv 22.389877
loss_gen_sty 1.5395286
loss_gen_rec 1.4862309
loss_dis_adv 1.1639142
[#001160|200000]  4.08s
loss_gen_adv 24.903767
loss_gen_sty 1.8485017
loss_gen_rec 1.4680991
loss_dis_adv 0.18044643
[#001170|200000]  4.00s
loss_gen_adv 24.957851
loss_gen_sty 1.7751427
loss_gen_rec 1.3668061
loss_dis_adv 4.0657535
[#001180|200000]  4.01s
loss_gen_adv 9.887871
loss_gen_sty 1.6436827
loss_gen_rec 1.1806408
loss_dis_adv 1.3797445
[#001190|200000]  4.01s
loss_gen_adv 24.400005
loss_gen_sty 1.7702043
loss_gen_rec 1.2479782
loss_dis_adv 0.34404212
[#001200|200000]  4.01s
loss_gen_adv 9.705972
loss_gen_sty 1.606503
loss_gen_rec 1.5527809
loss_dis_adv 1.2877858
[#001210|200000]  4.00s
loss_gen_adv 12.011753
loss_gen_sty 1.7282486
loss_gen_rec 2.1357274
loss_dis_adv 2.1906939
[#001220|200000]  4.01s
loss_gen_adv 24.27705
loss_gen_sty 2.0898256
loss_gen_rec 1.141896
loss_dis_adv 0.13576436
